ID,Incident_Num,Incident_Type,Occured_date_time,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender
26163-1636-16504,26163,Level 1 - Use of Force,2018-05-11T13:52:00,,-,,1636,16504,Black or African American,Female
23113-2202-16015,23113,Level 2 - Use of Force,2018-03-28T13:51:00,,-,,2202,16015,Black or African American,Male
23113-2202-16128,23113,Level 2 - Use of Force,2018-03-28T13:51:00,,-,,2202,16128,Black or African American,Male
23113-2202-8561,23113,Level 2 - Use of Force,2018-03-28T13:51:00,,-,,2202,8561,,Male
25285-1914-16350,25285,Level 1 - Use of Force,2018-04-29T13:23:00,,-,,1914,16350,White,Male
25279-2231-16350,25279,Level 2 - Use of Force,2018-04-29T13:23:00,,-,,2231,16350,White,Male
25278-2214-16350,25278,Level 2 - Use of Force,2018-04-29T13:23:00,,-,,2214,16350,White,Male
25277-1443-16350,25277,Level 1 - Use of Force,2018-04-29T13:21:00,,-,,1443,16350,White,Male
24285-2160-16207,24285,Level 2 - Use of Force,2018-04-15T04:00:00,,-,,2160,16207,Hispanic or Latino,Female
24277-1128-16207,24277,Level 2 - Use of Force,2018-04-15T03:55:00,,-,,1128,16207,Hispanic or Latino,Female
24627-2420-16207,24627,Level 2 - Use of Force,2018-04-15T04:00:00,,-,,2420,16207,Hispanic or Latino,Female
15268-1621-12243,15268,Level 1 - Use of Force,2017-04-16T11:51:00,S,O,O3,1621,12243,Black or African American,Male
15268-1621-12246,15268,Level 1 - Use of Force,2017-04-16T11:51:00,S,O,O3,1621,12246,Black or African American,Male
15269-2199-12242,15269,Level 1 - Use of Force,2017-04-16T12:30:00,S,O,O3,2199,12242,White,Male
15269-2199-12244,15269,Level 1 - Use of Force,2017-04-16T12:30:00,S,O,O3,2199,12244,Black or African American,Male
21324-1608-15717,21324,Level 1 - Use of Force,2018-03-01T06:00:00,X,X,XX,1608,15717,,Male
19379-1853-15259,19379,Level 2 - Use of Force,2018-01-28T04:11:00,E,G,G3,1853,15259,Black or African American,Male
19380-1850-15259,19380,Level 2 - Use of Force,2018-01-28T04:08:00,E,G,G3,1850,15259,Black or African American,Male
26304-1733-16534,26304,Level 2 - Use of Force,2018-05-14T13:15:00,W,K,K1,1733,16534,White,Male
26306-1218-16534,26306,Level 2 - Use of Force,2018-05-14T13:15:00,W,K,K1,1218,16534,White,Male
21408-2237-13896,21408,Level 1 - Use of Force,2018-03-02T12:25:00,N,N,N2,2237,13896,Black or African American,Female
20532-1852-15565,20532,Level 1 - Use of Force,2018-02-15T13:00:00,N,B,B1,1852,15565,White,Male
20485-2779-15557,20485,Level 1 - Use of Force,2018-02-14T20:56:00,N,N,N3,2779,15557,White,Male
20252-1219-15528,20252,Level 1 - Use of Force,2018-02-12T02:46:00,SW,W,W1,1219,15528,White,Male
179-953-126,179,Level 1 - Use of Force,2014-05-26T00:10:00,E,E,E2,953,126,Black or African American,Male
223-1145-172,223,Level 1 - Use of Force,2014-06-01T16:03:00,S,R,R1,1145,172,Black or African American,Male
1113-1204-754,1113,Level 2 - Use of Force,2014-05-30T10:45:00,W,K,K2,1204,754,Black or African American,Male
1114-639-754,1114,Level 2 - Use of Force,2014-05-30T10:45:00,W,K,K2,639,754,Black or African American,Male
572-1625-543,572,Level 1 - Use of Force,2014-07-20T20:12:00,S,S,S1,1625,543,American Indian/Alaska Native,Male
1237-1635-1213,1237,Level 2 - Use of Force,2014-05-05T13:23:00,E,E,E1,1635,1213,White,Male
1238-1599-1212,1238,Level 2 - Use of Force,2014-05-05T13:23:00,E,E,E1,1599,1212,White,Male
1974-1233-1708,1974,Level 1 - Use of Force,2014-05-01T20:40:00,W,D,D2,1233,1708,,
1975-1711-1708,1975,Level 1 - Use of Force,2014-05-01T20:40:00,W,D,D2,1711,1708,,
13361-1524-11068,13361,Level 2 - Use of Force,2016-11-07T17:00:00,E,G,G1,1524,11068,,Male
16869-1747-5239,16869,Level 2 - Use of Force,2017-08-13T14:00:00,W,M,M2,1747,5239,,Male
16871-1858-5239,16871,Level 2 - Use of Force,2017-08-13T14:00:00,W,M,M2,1858,5239,,Male
16901-1562-5602,16901,Level 2 - Use of Force,2017-08-13T14:00:00,W,M,M2,1562,5602,White,Male
16870-2142-13412,16870,Level 2 - Use of Force,2017-08-13T14:00:00,W,M,M2,2142,13412,White,
1389-1159-1352,1389,Level 1 - Use of Force,2014-04-10T18:50:00,E,E,E3,1159,1352,White,Female
1392-1682-1352,1392,Level 1 - Use of Force,2014-04-10T18:50:00,E,E,E3,1682,1352,White,Female
1394-1680-1352,1394,Level 1 - Use of Force,2014-04-10T18:50:00,E,E,E3,1680,1352,White,Female
31588-2125-17457,31588,Level 1 - Use of Force,2018-08-06T19:46:00,E,E,E3,2125,17457,White,Female
3393-1711-2463,3393,Level 2 - Use of Force,2015-01-19T15:10:00,W,D,D3,1711,2463,,
3393-1711-2977,3393,Level 2 - Use of Force,2015-01-19T15:10:00,W,D,D3,1711,2977,,Male
5781-1636-4753,5781,Level 2 - Use of Force,2015-06-24T11:27:00,W,M,M3,1636,4753,White,Male
5788-1084-4753,5788,Level 2 - Use of Force,2015-06-24T11:27:00,W,M,M3,1084,4753,White,Male
5790-1747-4753,5790,Level 2 - Use of Force,2015-06-24T11:27:00,W,M,M3,1747,4753,White,Male
6220-1554-5144,6220,Level 2 - Use of Force,2015-07-26T02:20:00,E,E,E2,1554,5144,Black or African American,Male
6221-1171-5144,6221,Level 2 - Use of Force,2015-07-26T02:25:00,E,E,E2,1171,5144,Black or African American,Male
6223-1640-5144,6223,Level 2 - Use of Force,2015-07-26T02:23:00,E,E,E2,1640,5144,Black or African American,Male
2827-1757-2558,2827,Level 1 - Use of Force,2014-12-14T02:18:00,E,E,E1,1757,2558,Black or African American,Male
2829-896-2558,2829,Level 1 - Use of Force,2014-12-14T02:18:00,E,E,E1,896,2558,Black or African American,Male
2833-1143-2558,2833,Level 1 - Use of Force,2014-12-14T19:47:00,E,E,E1,1143,2558,Black or African American,Male
10133-1822-6130,10133,Level 1 - Use of Force,2016-03-10T21:39:00,N,J,J1,1822,6130,Black or African American,Male
10134-1805-6130,10134,Level 1 - Use of Force,2016-03-10T21:39:00,N,J,J1,1805,6130,Black or African American,Male
1740-970-1626,1740,Level 1 - Use of Force,2014-10-03T18:43:00,W,M,M3,970,1626,Black or African American,Male
1748-1041-1626,1748,Level 1 - Use of Force,2014-10-03T18:43:00,W,M,M3,1041,1626,Black or African American,Male
3250-1633-2759,3250,Level 1 - Use of Force,2014-12-29T00:58:00,W,M,M3,1633,2759,Black or African American,Male
3152-1664-2819,3152,Level 2 - Use of Force,2015-01-02T21:34:00,W,M,M3,1664,2819,White,Male
678-1552-696,678,Level 1 - Use of Force,2014-07-30T01:28:00,E,G,G2,1552,696,Black or African American,Male
679-694-697,679,Level 1 - Use of Force,2014-07-30T01:28:00,E,G,G2,694,697,Black or African American,Male
680-1543-697,680,Level 1 - Use of Force,2014-07-30T01:28:00,E,G,G2,1543,697,Black or African American,Male
741-1141-697,741,Level 1 - Use of Force,2014-07-30T01:28:00,E,G,G2,1141,697,Black or African American,Male
506-1690-460,506,Level 1 - Use of Force,2014-07-15T21:00:00,E,E,E2,1690,460,White,Male
803-1802-818,803,Level 2 - Use of Force,2014-08-11T17:17:00,E,E,E2,1802,818,White,Male
804-1673-818,804,Level 2 - Use of Force,2014-08-11T17:17:00,E,E,E2,1673,818,White,Male
1536-1735-1478,1536,Level 1 - Use of Force,2014-09-29T07:00:00,E,E,E2,1735,1478,Black or African American,Male
2002-1711-1546,2002,Level 1 - Use of Force,2014-05-19T18:30:00,E,E,E2,1711,1546,White,Male
2086-1757-1867,2086,Level 1 - Use of Force,2014-05-18T22:58:00,E,E,E2,1757,1867,Black or African American,Female
2832-1722-2559,2832,Level 1 - Use of Force,2014-12-14T02:30:00,E,E,E2,1722,2559,,Male
967-1768-999,967,Level 1 - Use of Force,2014-08-29T22:31:00,W,K,K2,1768,999,,Male
968-456-999,968,Level 1 - Use of Force,2014-08-29T22:31:00,W,K,K2,456,999,,Male
1122-1180-1120,1122,Level 2 - Use of Force,2014-05-21T20:09:00,W,K,K2,1180,1120,Black or African American,Male
1125-1556-1120,1125,Level 2 - Use of Force,2014-05-21T20:09:00,W,K,K2,1556,1120,Black or African American,Male
1739-1571-1641,1739,Level 2 - Use of Force,2014-10-03T21:00:00,W,K,K2,1571,1641,White,Male
2573-1573-2313,2573,Level 2 - Use of Force,2014-11-23T17:11:00,W,K,K2,1573,2313,White,Male
2577-1239-2313,2577,Level 2 - Use of Force,2014-11-23T17:30:00,W,K,K2,1239,2313,White,Male
2578-1634-2313,2578,Level 2 - Use of Force,2014-11-23T17:00:00,W,K,K2,1634,2313,White,Male
2574-1677-2320,2574,Level 2 - Use of Force,2014-11-23T17:11:00,W,K,K2,1677,2320,White,Male
1275-1610-135,1275,Level 2 - Use of Force,2014-04-22T23:34:00,N,U,U1,1610,135,Black or African American,Male
1716-1708-1606,1716,Level 1 - Use of Force,2014-06-06T01:58:00,W,D,D1,1708,1606,Black or African American,Male
9057-2124-6941,9057,Level 1 - Use of Force,2015-12-27T02:02:00,W,D,D1,2124,6941,Black or African American,Male
13379-1765-6381,13379,Level 1 - Use of Force,2016-11-08T20:36:00,W,K,K3,1765,6381,Black or African American,Male
14506-2296-11817,14506,Level 1 - Use of Force,2017-02-17T07:35:00,SW,F,F1,2296,11817,,Male
990-1700-1011,990,Level 1 - Use of Force,2014-09-01T13:45:00,SW,F,F1,1700,1011,White,Female
1380-1122-1347,1380,Level 1 - Use of Force,2014-04-09T21:50:00,SW,F,F2,1122,1347,Hispanic or Latino,Male
1386-1793-1349,1386,Level 1 - Use of Force,2014-04-09T21:50:00,SW,F,F2,1793,1349,Black or African American,Female
1390-1732-1351,1390,Level 1 - Use of Force,2014-04-11T01:27:00,SW,F,F2,1732,1351,Black or African American,Male
1391-1315-1351,1391,Level 1 - Use of Force,2014-04-11T01:27:00,SW,F,F2,1315,1351,Black or African American,Male
1556-1703-1510,1556,Level 1 - Use of Force,2014-05-09T13:08:00,N,N,N2,1703,1510,,Male
1624-689-1555,1624,Level 1 - Use of Force,2014-05-16T15:20:00,N,L,L2,689,1555,White,Male
4179-1061-3664,4179,Level 1 - Use of Force,2015-03-13T12:38:00,N,U,U1,1061,3664,White,Male
1112-953-1111,1112,Level 2 - Use of Force,2014-06-08T21:30:00,E,E,E1,953,1111,Black or African American,Male
757-1541-769,757,Level 1 - Use of Force,2014-08-06T01:42:00,E,G,G3,1541,769,Black or African American,Male
759-1594-769,759,Level 1 - Use of Force,2014-08-06T01:40:00,E,G,G3,1594,769,Black or African American,Male
756-1640-770,756,Level 1 - Use of Force,2014-08-06T01:40:00,E,G,G3,1640,770,Black or African American,Male
759-1594-771,759,Level 1 - Use of Force,2014-08-06T01:40:00,E,G,G3,1594,771,White,Male
870-1109-893,870,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,1109,893,Black or African American,Male
872-1698-893,872,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,1698,893,Black or African American,Male
904-529-893,904,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,529,893,Black or African American,Male
870-1109-894,870,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,1109,894,Black or African American,Male
872-1698-894,872,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,1698,894,Black or African American,Male
904-529-894,904,Level 1 - Use of Force,2014-08-18T04:37:00,S,R,R3,529,894,Black or African American,Male
1905-1635-1722,1905,Level 1 - Use of Force,2014-10-09T13:00:00,E,C,C3,1635,1722,Black or African American,Male
17527-1141-13983,17527,Level 1 - Use of Force,2017-09-27T11:51:00,SW,F,F2,1141,13983,Hispanic or Latino,Male
17552-1573-13983,17552,Level 1 - Use of Force,2017-09-27T11:51:00,SW,F,F2,1573,13983,Hispanic or Latino,Male
3099-1611-2784,3099,Level 1 - Use of Force,2014-12-31T01:45:00,N,U,U2,1611,2784,White,Male
19291-1654-15213,19291,Level 1 - Use of Force,2018-01-23T08:53:00,N,U,U2,1654,15213,Black or African American,Male
3373-180-2959,3373,Level 1 - Use of Force,2015-01-16T14:59:00,SW,F,F3,180,2959,,Male
3374-612-2959,3374,Level 1 - Use of Force,2015-01-16T17:38:00,SW,F,F3,612,2959,,Male
530-1076-501,530,Level 1 - Use of Force,2014-07-17T14:30:00,W,M,M2,1076,501,American Indian/Alaska Native,Female
531-1638-501,531,Level 1 - Use of Force,2014-07-17T14:30:00,W,M,M2,1638,501,American Indian/Alaska Native,Female
351-709-298,351,Level 1 - Use of Force,2014-06-26T23:56:00,W,D,D2,709,298,Black or African American,Female
786-907-499,786,Level 2 - Use of Force,2014-08-09T02:31:00,W,D,D2,907,499,White,Male
787-1242-802,787,Level 2 - Use of Force,2014-08-09T02:30:00,W,D,D2,1242,802,White,Male
1070-1848-1072,1070,Level 1 - Use of Force,2014-09-09T01:40:00,W,D,D2,1848,1072,White,Male
1167-399-1161,1167,Level 1 - Use of Force,2014-05-24T03:18:00,W,D,D2,399,1161,Black or African American,Male
1221-456-1204,1221,Level 2 - Use of Force,2014-05-08T02:09:00,W,D,D2,456,1204,Black or African American,Male
1419-1168-1363,1419,Level 1 - Use of Force,2014-04-19T20:22:00,W,D,D2,1168,1363,White,Male
1532-1556-1474,1532,Level 1 - Use of Force,2014-09-29T00:15:00,W,D,D2,1556,1474,,Female
1535-1760-1477,1535,Level 1 - Use of Force,2014-09-28T22:40:00,W,D,D2,1760,1477,,Male
2353-1734-2098,2353,Level 1 - Use of Force,2014-11-08T01:30:00,W,D,D2,1734,2098,,Female
1487-1787-1437,1487,Level 1 - Use of Force,2014-04-29T20:41:00,W,K,K1,1787,1437,Black or African American,Female
3157-1627-1784,3157,Level 1 - Use of Force,2014-07-19T01:15:00,S,R,R3,1627,1784,Black or African American,Male
3158-1705-1784,3158,Level 1 - Use of Force,2014-07-19T01:15:00,S,R,R3,1705,1784,Black or African American,Male
796-785-698,796,Level 2 - Use of Force,2014-07-30T03:05:00,N,B,B3,785,698,White,Male
862-1766-698,862,Level 1 - Use of Force,2014-07-30T02:43:00,N,B,B3,1766,698,White,Male
969-1691-1000,969,Level 1 - Use of Force,2014-08-29T19:00:00,W,Q,Q3,1691,1000,White,Male
3116-1705-2800,3116,Level 1 - Use of Force,2014-12-31T22:38:00,S,S,S2,1705,2800,Black or African American,Female
3116-1705-2801,3116,Level 1 - Use of Force,2014-12-31T22:38:00,S,S,S2,1705,2801,Black or African American,Female
222-1640-171,222,Level 1 - Use of Force,2014-05-30T23:19:00,E,C,C1,1640,171,American Indian/Alaska Native,Male
477-498-432,477,Level 2 - Use of Force,2014-07-12T23:40:00,W,D,D1,498,432,White,Male
1530-1678-1473,1530,Level 1 - Use of Force,2014-09-28T02:57:00,W,D,D1,1678,1473,Black or African American,Male
1989-1611-1773,1989,Level 1 - Use of Force,2014-10-13T19:57:00,N,L,L3,1611,1773,White,Male
3172-1610-1773,3172,Level 1 - Use of Force,2014-10-13T19:39:00,N,L,L3,1610,1773,White,Male
2351-1844-2097,2351,Level 1 - Use of Force,2014-11-08T22:30:00,E,G,G2,1844,2097,Black or African American,Male
2714-1090-2457,2714,Level 1 - Use of Force,2014-12-03T22:15:00,E,C,C2,1090,2457,White,Female
2750-1443-2457,2750,Level 1 - Use of Force,2014-12-03T22:21:00,E,C,C2,1443,2457,White,Female
17182-1143-13779,17182,Level 1 - Use of Force,2017-09-04T22:10:00,E,E,E3,1143,13779,White,Male
521-1697-494,521,Level 1 - Use of Force,2014-07-16T19:38:00,W,M,M2,1697,494,,Female
869-1750-890,869,Level 1 - Use of Force,2014-08-17T16:52:00,W,M,M2,1750,890,Black or African American,Male
8981-1865-6829,8981,Level 1 - Use of Force,2015-02-18T03:30:00,N,N,N2,1865,6829,,Female
1436-1163-99,1436,Level 1 - Use of Force,2014-04-23T01:49:00,W,K,K1,1163,99,Black or African American,Male
218-1673-166,218,Level 1 - Use of Force,2014-05-30T14:06:00,E,G,G1,1673,166,White,Male
178-1690-125,178,Level 1 - Use of Force,2014-05-23T17:24:00,W,K,K3,1690,125,Asian,Female
229-1783-178,229,Level 1 - Use of Force,2014-06-02T05:08:00,W,K,K1,1783,178,,Male
239-1141-191,239,Level 1 - Use of Force,2014-06-04T22:07:00,E,G,G3,1141,191,,Female
240-694-191,240,Level 1 - Use of Force,2014-06-04T22:10:00,E,G,G3,694,191,,Female
253-1622-204,253,Level 1 - Use of Force,2014-06-07T03:05:00,W,K,K3,1622,204,Black or African American,Male
254-1662-205,254,Level 1 - Use of Force,2014-06-07T03:05:00,W,K,K3,1662,205,Black or African American,Male
271-1141-223,271,Level 2 - Use of Force,2014-06-11T02:15:00,W,K,K3,1141,223,,Male
284-1640-223,284,Level 2 - Use of Force,2014-06-11T02:15:00,W,K,K3,1640,223,,Male
16747-2351-13343,16747,Level 1 - Use of Force,2017-08-06T12:49:00,W,K,K3,2351,13343,Black or African American,Male
291-1561-245,291,Level 1 - Use of Force,2014-06-17T18:16:00,E,G,G3,1561,245,Black or African American,Male
292-1542-245,292,Level 1 - Use of Force,2014-06-17T18:21:00,E,G,G3,1542,245,Black or African American,Male
293-1635-245,293,Level 1 - Use of Force,2014-06-17T18:30:00,E,G,G3,1635,245,Black or African American,Male
285-1604-240,285,Level 1 - Use of Force,2014-06-16T21:22:00,E,G,G1,1604,240,Black or African American,Male
286-1640-240,286,Level 1 - Use of Force,2014-06-16T21:22:00,E,G,G1,1640,240,Black or African American,Male
306-1577-257,306,Level 1 - Use of Force,2014-06-22T00:29:00,W,K,K3,1577,257,Black or African American,Male
364-1763-312,364,Level 1 - Use of Force,2014-06-28T22:55:00,N,L,L1,1763,312,Black or African American,Male
357-1611-302,357,Level 1 - Use of Force,2014-06-27T22:30:00,N,U,U2,1611,302,White,Female
352-1719-297,352,Level 1 - Use of Force,2014-06-27T00:30:00,N,L,L2,1719,297,White,Male
